"","x"
"1","Gad1"
"2","Gabbr1"
"3","Cx3cl1"
"4","Cnr1"
"5","Dlk1"
"6","Syt4"
"7","Gfap"
"8","Gjc3"
"9","Cspg5"
"10","Gabbr2"
"11","Grm5"
"12","Erbb4"
"13","Epha4"
"14","Gpr37l1"
"15","Ntsr2"
"16","Lmtk2"
"17","Ntrk3"
"18","Kit"
"19","Baiap2"
"20","Adgrb1"
"21","Grin2b"
"22","Celsr2"
"23","Epha6"
"24","Aqp4"
"25","Adgrl2"
"26","Adgrl1"
"27","Fgfr3"
"28","Chrm1"
"29","Tyro3"
"30","Olig1"
"31","Fn1"
"32","Adgrb3"
"33","Slc32a1"
"34","Gprc5b"
"35","Ret"
"36","Mertk"
"37","Ephb6"
"38","Grm7"
"39","Ackr1"
"40","Pdgfra"
"41","Epha7"
"42","Chrm3"
"43","Ntrk2"
"44","Fzd3"
"45","Gpr22"
"46","Adcyap1r1"
"47","Hrh3"
"48","Adgra1"
"49","Sstr4"
"50","Htr2c"
"51","Gpr162"
"52","S1pr1"
"53","Gpr158"
"54","Grm1"
"55","Adora1"
"56","Cxcl12"
"57","Drd2"
"58","Man1a"
"59","Nrp1"
"60","Grm4"
"61","Grm3"
"62","Sema4d"
"63","Adgrl3"
"64","Peg10"
"65","Pdgfrb"
"66","Gpr161"
"67","Mas1"
"68","Ephb1"
"69","Fgfr2"
"70","Ddr1"
"71","Sox8"
"72","Pcdh15"
"73","Gpr85"
"74","Tacr3"
"75","Chrm2"
"76","Arhgap29"
"77","Tmem108"
"78","Adgrg1"
"79","Ednrb"
"80","Cckbr"
"81","Gpr26"
"82","Adra2a"
"83","Erbb3"
"84","Adrb1"
"85","Sstr2"
"86","Insr"
"87","Aldh1l1"
"88","Epha10"
"89","Slc25a18"
"90","Grm2"
"91","Alk"
"92","Oprk1"
"93","Ryk"
"94","Efemp1"
"95","Npy1r"
"96","Anxa11"
"97","Epha5"
"98","Nrp2"
"99","Met"
"100","Npy2r"
"101","Adra1d"
"102","Trhr"
"103","Tjap1"
"104","Crhr1"
"105","Plxnb3"
"106","Rspo3"
"107","Flt3"
"108","Lpar1"
"109","Oprm1"
"110","Sstr1"
"111","Gpr176"
"112","Drd1"
"113","Ephb2"
"114","Gpr52"
"115","Chrm4"
"116","Amigo2"
"117","Gpr62"
"118","Axl"
"119","S1pr5"
"120","Timp4"
"121","Htr7"
"122","Fzd2"
"123","Egfr"
"124","Mlc1"
"125","Tacr1"
"126","Gramd3"
"127","P2ry1"
"128","Epha3"
"129","Lgr5"
"130","Ephb3"
"131","Htr1b"
"132","Oprd1"
"133","Htr4"
"134","Gpr63"
"135","Gpr83"
"136","Mc4r"
"137","Htr1f"
"138","Gpr153"
"139","Fzd6"
"140","Hcrtr2"
"141","Hrh2"
"142","Slc17a7"
"143","Slc17a6"
"144","C1qb"
"145","C1qa"
"146","Adgrf5"
"147","Sox9"
"148","Kdr"
"149","Ackr3"
"150","Adgra3"
"151","Adra1a"
"152","Htr1a"
"153","Gpr75"
"154","Gpr61"
"155","Htr2a"
"156","Lpar6"
"157","Gpr27"
"158","Igf1r"
"159","Traf4"
"160","Lgr4"
"161","Gpr21"
"162","Sstr3"
"163","Flt1"
"164","Adgrl4"
"165","Csf1r"
"166","Cldn5"
"167","Tek"
"168","Adgre1"
"169","P2ry12"
"170","Slco1a4"
"171","Atp13a5"
