"","combined_pvalue","adjusted_pvalue"
"MALAT1",5.55e-17,2.15691863528622e-15
"COX6C",5.55e-17,2.15691863528622e-15
"MGP",5.55e-17,2.15691863528622e-15
"KRT19",5.55e-17,2.15691863528622e-15
"HLA-A",5.55e-17,2.15691863528622e-15
"MYL9",5.55e-17,2.15691863528622e-15
"FTL",5.55e-17,2.15691863528622e-15
"EEF1A1",5.55e-17,2.15691863528622e-15
"SPARC",5.55e-17,2.15691863528622e-15
"AQP4",5.55e-17,2.15691863528622e-15
"RPL13A",5.55e-17,2.15691863528622e-15
"TAGLN",5.55e-17,2.15691863528622e-15
"RPS27",5.55e-17,2.15691863528622e-15
"B2M",5.55e-17,2.15691863528622e-15
"AGT",5.55e-17,2.15691863528622e-15
"CXCL14",5.55e-17,2.15691863528622e-15
"H2AFJ",5.55e-17,2.15691863528622e-15
"NUPR1",5.55e-17,2.15691863528622e-15
"KRT8",5.55e-17,2.15691863528622e-15
"HLA-DRA",5.55e-17,2.15691863528622e-15
"ENC1",5.55e-17,2.15691863528622e-15
"AZGP1",5.55e-17,2.15691863528622e-15
"HBA2",5.55e-17,2.15691863528622e-15
"PTGDS",5.55e-17,2.15691863528622e-15
"RPS19",5.55e-17,2.15691863528622e-15
"TFF3",5.55e-17,2.15691863528622e-15
"BAMBI",5.55e-17,2.15691863528622e-15
"IFI27",5.55e-17,2.15691863528622e-15
"CD74",5.55e-17,2.15691863528622e-15
"KRT18",5.55e-17,2.15691863528622e-15
"HLA-B",5.55e-17,2.15691863528622e-15
"HPCAL1",5.55e-17,2.15691863528622e-15
"SERPINE2",5.55e-17,2.15691863528622e-15
"HOPX",5.55e-17,2.15691863528622e-15
"OLFM1",5.55e-17,2.15691863528622e-15
"PCDH8",5.55e-17,2.15691863528622e-15
"TESPA1",5.55e-17,2.15691863528622e-15
"CADM3",5.55e-17,2.15691863528622e-15
"RBP4",5.55e-17,2.15691863528622e-15
"NSG2",5.55e-17,2.15691863528622e-15
"VSTM2A",5.55e-17,2.15691863528622e-15
"MEF2C",5.55e-17,2.15691863528622e-15
"TFF1",5.55e-17,2.15691863528622e-15
"MIF",5.55e-17,2.15691863528622e-15
"SLC12A5",5.55e-17,2.15691863528622e-15
"CUX2",5.55e-17,2.15691863528622e-15
"NEFL",5.55e-17,2.15691863528622e-15
"GAP43",5.55e-17,2.15691863528622e-15
"SNCG",5.55e-17,2.15691863528622e-15
"NEFM",5.55e-17,2.15691863528622e-15
"ATP1A1",5.55e-17,2.15691863528622e-15
"GABRD",5.55e-17,2.15691863528622e-15
"MDH1",5.55e-17,2.15691863528622e-15
"INA",5.55e-17,2.15691863528622e-15
"HAPLN4",5.55e-17,2.15691863528622e-15
"CRYM",5.55e-17,2.15691863528622e-15
"CABP1",5.55e-17,2.15691863528622e-15
"CARTPT",5.55e-17,2.15691863528622e-15
"CA10",5.55e-17,2.15691863528622e-15
"ATP2B2",5.55e-17,2.15691863528622e-15
"CALB1",5.55e-17,2.15691863528622e-15
"SLC30A3",5.55e-17,2.15691863528622e-15
"VSTM2L",5.55e-17,2.15691863528622e-15
"NSF",5.55e-17,2.15691863528622e-15
"CBLN4",5.55e-17,2.15691863528622e-15
"SCN1B",5.55e-17,2.15691863528622e-15
"NEFH",5.55e-17,2.15691863528622e-15
