"","x"
"1","MALAT1"
"2","COX6C"
"3","MGP"
"4","KRT19"
"5","HLA-A"
"6","MYL9"
"7","FTL"
"8","EEF1A1"
"9","SPARC"
"10","AQP4"
"11","RPL13A"
"12","TAGLN"
"13","RPS27"
"14","B2M"
"15","AGT"
"16","CXCL14"
"17","H2AFJ"
"18","NUPR1"
"19","KRT8"
"20","HLA-DRA"
"21","ENC1"
"22","AZGP1"
"23","HBA2"
"24","PTGDS"
"25","RPS19"
"26","TFF3"
"27","BAMBI"
"28","IFI27"
"29","CD74"
"30","KRT18"
"31","HLA-B"
"32","HPCAL1"
"33","SERPINE2"
"34","HOPX"
"35","OLFM1"
"36","PCDH8"
"37","TESPA1"
"38","CADM3"
"39","RBP4"
"40","NSG2"
"41","VSTM2A"
"42","MEF2C"
"43","TFF1"
"44","MIF"
"45","SLC12A5"
"46","CUX2"
"47","NEFL"
"48","GAP43"
"49","SNCG"
"50","NEFM"
"51","ATP1A1"
"52","GABRD"
"53","MDH1"
"54","INA"
"55","HAPLN4"
"56","CRYM"
"57","CABP1"
"58","CARTPT"
"59","CA10"
"60","ATP2B2"
"61","CALB1"
"62","SLC30A3"
"63","VSTM2L"
"64","NSF"
"65","CBLN4"
"66","SCN1B"
"67","NEFH"
"68","DCLK1"
"69","PVALB"
"70","ALDOA"
"71","PCP4"
"72","DIRAS2"
"73","MBP"
"74","KRT17"
"75","SCGB2A2"
"76","TF"
"77","SCGB1D2"
"78","MTURN"
"79","B3GALT2"
"80","MOBP"
"81","CRYAB"
"82","TUBA1A"
"83","S100B"
"84","CLDND1"
"85","SCD"
"86","CPB1"
"87","APLP1"
"88","SPP1"
"89","ERMN"
"90","SEPT4"
"91","RNASE1"
"92","BCAS1"
"93","SELENOP"
"94","MAG"
"95","QDPR"
"96","PAQR6"
"97","QKI"
"98","PPP1R14A"
"99","MAL"
"100","CARNS1"
"101","LINC00844"
"102","OPALIN"
"103","HBB"
"104","GPM6B"
"105","MUC1"
"106","CLDN11"
"107","SORT1"
"108","TP53INP2"
"109","NDRG1"
"110","IFITM3"
"111","TSC22D4"
"112","CSRP1"
"113","SYNJ2"
"114","TPPP"
"115","GPRC5B"
"116","LPAR1"
"117","LAMP2"
"118","CALML5"
"119","HIPK2"
"120","APOD"
"121","UGT8"
"122","MARCKSL1"
"123","PLEKHB1"
"124","MOG"
"125","ENPP2"
"126","PTMA"
"127","HSPA2"
"128","TMEM144"
"129","ABCA2"
"130","CNTN2"
"131","FEZ1"
"132","GSN"
"133","PMP22"
"134","PLLP"
"135","LHPP"
"136","EDIL3"
"137","OLIG1"
"138","SLC44A1"
"139","NKX6-2"
"140","ELOVL1"
"141","PLA2G16"
"142","EFHD1"
"143","SIRT2"
"144","PIP4K2A"
"145","SUN2"
"146","FGFR2"
"147","TTYH2"
"148","CBR1"
"149","SLAIN1"
"150","CERCAM"
"151","KLK6"
"152","MYRF"
"153","CD9"
"154","PLEKHH1"
"155","PADI2"
"156","CNDP1"
"157","SEPT8"
"158","TPPP3"
"159","NENF"
"160","RASSF2"
"161","HAPLN2"
"162","SEMA3B"
"163","GPR37"
"164","FAM107B"
"165","H3F3B"
"166","BIN1"
"167","PTP4A2"
"168","PREX1"
"169","C1ORF198"
"170","AIF1L"
"171","CDKN1C"
"172","JAM3"
"173","VWA1"
"174","PRR18"
"175","AMER2"
"176","CERS2"
"177","SLC48A1"
"178","ANLN"
"179","FA2H"
"180","SEMA4D"
"181","FGF1"
"182","DAAM2"
"183","SLC12A2"
"184","GLDN"
"185","SOX8"
"186","CDC42EP1"
"187","RAPGEF5"
"188","BOK"
"189","EVI2A"
"190","CMTM5"
"191","TMEM63A"
"192","RNF130"
"193","HEPACAM"
"194","FMNL2"
"195","DDR1"
"196","PHLDB1"
"197","RHOU"
"198","SPOCK3"
"199","SHTN1"
"200","CFL2"
